용어번호,용어설명,용어명,요약
883,후기산업사회(post-industrial society)의 대표적인 산업으로서 정보의 처리?취급?전파에 종사하는 활동을 말한다. 4차 산업의 입지 결정에 영향을 미치는 인자는 첫째 대면접촉(face-to-face contact)의 편리성이 확보되는 곳에 4차 산업이 입지하려는 경향을 가진다. 둘째 4차 산업의 활동을 지원하기 위한 전문서비스의 활동이 편리한 지역에 4차 산업이 입지하려는 경향을 가진다. 셋째 4차 산업은 전국적인 시장이나 국제적인 시장을 대상으로 한다. 넷째 4차 산업의 입지결정은 공간적으로 편향된 판단을 토대로 이루어지는 경향이 있다.,4차 산업(4次 産業),
215,BOO란 민간투자사업의 추진방식중 하나로써 사회기반시설의 준공과 동시에 사업시행자에게 당해시설의 소유권이 인정되는 방식이다.,BOO(Build-Own-Operate),
1077,☞분기점,J.C(junction),
1714,"「건축법」에 의해 지정되는 가로구역별 최고높이 제한지역은 도로로 둘러싸인 일단의 지역에 대해 도시관리계획 등의 토지이용계획 당해가로구역이 접하는 도로의 너비 당해가로구역의 상하수도등 간선시설의 수용능력 도시미관 및 경관계획 당해도시의 장래 발전계획 등을 고려하여 지정하며 각 가로구역별 여건에 맞추어 주위 환경과 조화를 이루는 건축을 유도하여 바람직한 도시경관을 조성하는데 지정 목적이 있다.;가로구역별 최고높이 제한지역의 지정을 통한 높이관리는 기존의 도로사선(斜線)에 의한 높이제한을 합리적으로 대체하고 있으며 일조권(日照權)에 의한 높이제한을 보완하는 제도이다.;또한 허가권자가 상기 사항을 고려하여 지방건축위원회의 심의를 거친 경우에는 가로구역의 최고높이를 완화할 수 있도록 규정하여 공익에 필요한 경우 최고높이규제를 완화할 수 있도록 하고 있으며 동일한 가로구역 내부에서도 높이제한을 다르게 정할 수 있도록 함으로써 기존의 도로사선제한에 의한 높이제한 보다 합리적인 건축물 높이관리가 가능하게 된다.;이러한 가로구역별 최고높이는 필요시 지방자치단체의 조례에 세부사항을 정하도록 하고 있으며 「서울특별시 건축조례」에서 최초로 규정되었다.;※ 건축물의 높이제한건축물의 안전과 일조 채광 통풍 등 위생적이고 쾌적한 환경 확보 및 도시미관과 토지이용의 효율을 위해 관련법규에서는 건축물의 높이를 다음과 같이 제한하고 있다.    용도지역에 의한 높이제한    용도지구에 의한 높이제한    「건축법」에 의한 가로구역별 높이제한    「건축법」에 의한 일조권 확보를 위한 높이제한건축물의 높이제한은 도시계획상 「국토의 계획 및 이용에 관한 법률」을 통해 용도지역(건폐율 용적률)에 의한 높이제한을 기본으로 하며 용도지구(최고,최저 고도지구) 지정에 의해 이를 완화 또는 강화하게 된다. 더불어 실제 건축에 있어서는 개별 건축물의 안전 및 일조 등 보다 구체적인 쾌적성과 미관을 확보하고 토지이용의 효율을 위해 추가적으로 건축물의 세부적인 높이제한 사항을 규정하고 있다.※ 사선에 의한 높이제한[斜線制限]일조(日照);채광(採光);통풍;미관 등의 도시환경을 고려하기 위해 건축물과 도로 및 인접지와의 경계선 등에서 그은 일정한 사선(지면으로부터 비스듬하게 그어 올라가는 경사선) 이내로 건축의 높이를 제한하는 것을 말한다. 사선에 의한 높이 제한 조항은 2014. 5. 28. 「건축법」 개정 시 삭제되었다.",가로구역별 최고높이 제한지역,도시의 위생적이고 쾌적한 환경 확보 및 도시미관과 토지이용의 효율을 높이기 위해 가로구역(도로로 둘러싸인 일단의 지역)을 단위로 하여 건축물의 최고 높이를 제한하는 지역을 말한다.
549,「도시계획시설의결정?구조및설치기준에관한규칙」에 의하면 「고압가스안전관리법」에 의한 저장소(저장능력 30톤 이하의 액화가스저장소 및 저장능력 3000㎥ 이하인 압축가스저장소 제외)와 「액화석유가스의안전및사업관리법」에 의한 액화석유가스의 용기충전시설과 자동차에 고정된 탱크충전시설 및 「도시가스사업법」에 의한 가스공급시설을 말한다. 가스공급설비를 결정할 때는 주요시설물 또는 건축물 밀집지역에 설치되지 않도록 인근의 토지이용계획을 고려하여야 하며 또한 인화?폭발 등으로 인한 사고에 대비하여 혼잡한 상가?번화가 또는 시장 등 많은 사람들이 모이는 장소와 그에 인접된 장소가 아닌 곳에 지정하여야 한다.,가스공급설비(gas供給設備),
214,BOT 는 민간투자사업의 추진방식중 하나로써 사회기반시설의 준공후 일정기간동안 사업시행자에게 당해시설의 소유권이 인정되며 그 기간의 만료시 시설소유권이 국가 또는 지방자치단체에 귀속되는 방식 을 말한다.,BOT(Build-Own-Transfer),
542,☞ 변속차로,가감속차로(加減速車路),
1700,가로주택정비사업은 2012년 「도시 및 주거환경정비법」 개정 시 주거환경관리사업과 함께 정비사업 유형의 하나로 도입되었으며 기존 저층주거지의 도시조직과 가로망을 유지하며 주거환경을 개선하기 위하여 시행하는 소규모 사업이다.사업대상 지역은 도시계획시설 도로로 둘러싸인 면적 1만㎡ 이하의 가로구역 중 노후;불량건축물의 수가 전체 건축물의 3분의 2이상이고 해당 구역에 있는 주택의 수가 20세대 이상이면 가능하다.다만 해당 지역의 일부가 광장 공원 녹지 하천 공공공지 공용주차장 및 너비 6미터 이상의 건축법상 도로에 접한 경우에도 가로구역으로 인정된다.가로주택정비사업의 경우 도시 및 주거환경정비기본계획의 수립; 및 정비계획의 수립 및 정비구역의 지정 절차;를 적용하지 않기 때문에 사업시행 기간을 단축할 수 있으며 「건축법」에 따른 대지의 조경기준 건폐율 산정기준 대지 안의 공지 기준 및 건축물의 높이 제한 기준을 지방건축위원회 심의를 통해 완화하여 적용할 수 있다.,가로주택정비사업,노후;불량건축물이 밀집한 가로구역에서 종전의 가로를 유지하면서 소규모로 주거환경을 개선하기 위하여 시행하는 「도시 및 주거환경정비법」에 의한 정비사업의 하나이다.
554,「국토의계획및이용에관한법률」에 의하여 특별시장 광역시장 시장 군수는 주거지역?상업지역 또는 공업지역안에서 개발행위로 인하여 기반시설(도로 수도공급설비 하수도 및 학교 등 도시계획시설 포함)의 처리?공급?수용능력이 부족할 것으로 예상되는 지역중 기반시설의 설치가 곤란한 지역에 대하여 개발밀도관리구역을 지정할 수 있다. 개발밀도관리구역으로 지정된 지역에 대하여는 건폐율 또는 용적률을 강화(당해 용도지역 용적률 최대한도의 50% 이상)하여 적용한다.,개발밀도관리구역(開發密度管理區域),
556,개발사업을 시행하거나 공공사업의 시행 토지이용계획의 변경 기타 사회경제적 요인에 의하여 정상적인 토지가격의 상승분을 넘어서 개발사업을 시행하는 자에게 귀속되는 토지가액이 늘어난 부분을 말한다. 즉 사회투자에 의해 주변의 토지편익이 증가해서 토지소유자에게 발생하는 이익을 말한다.,개발이익(開發利益),
564,몇 개의 대도시와 그 주변지역의 도시들이 서로 연담화(conurbation)하여 공간적으로 융합된 지역을 거대도시 또는 거대도시권이라 한다. 거대도시란 용어는 미국의 짐 고트만(Jeam Gottman)이 1961년에 저술한 『megalopolis』란 책에 의해 널리 사용되기 시작하였다. 그는 미국 동부의 대서양 연안지대의 길이 600mile 폭 100~150mile의 뉴욕과 수도 워싱톤 대도시권 등을 비롯하여 북측 뉴헤븐(New Heaven)으로부터 남측으로 리치몬드(Richmond)까지 연담화된 도시현상을 설명하였다.☞도시연담화(conurbation)',거대도시(巨大都市 megalopolis),
1731,;국토교통부장관은 전국의 토지 중 대표성이 높은 표준지를 선정하고 단위면적<span style='letter-spacing: 0pt'>(</span><span style='letter-spacing: 0pt'>㎡</span><span style='letter-spacing: 0pt'>) </span>당 적정가격인 공시지가를 결정한다<span style='letter-spacing: 0pt'>. </span>시장<span style='letter-spacing: 0pt'>;</span>군수<span style='letter-spacing: 0pt'>;</span>구청장은 표준지의 공시지가를 바탕으로 하여 개별토지의 단위면적<span style='letter-spacing: 0pt'>(</span><span style='letter-spacing: 0pt'>㎡</span><span style='letter-spacing: 0pt'>) </span>당 적정가격인 개별공시지가를 산정한다<span style='letter-spacing: 0pt'>.</span>;개별토지의 용도<span style='letter-spacing: 0pt'>(</span>주거용<span style='letter-spacing: 0pt'> </span>상업용<span style='letter-spacing: 0pt'> </span>공업용 등<span style='letter-spacing: 0pt'>) </span>도로<span style='letter-spacing: 0pt'>;</span>교통조건<span style='letter-spacing: 0pt'> </span>토지이용규제사항 등이 <span style='letter-spacing: -0.2pt'>유사한 표준지와 비교하여 토지가격비준표에 의해 그 차이에 따른 가격배율을 산출하고</span><span style='letter-spacing: -0.2pt'> </span>표준지공시지가에 가격배율을 곱하여 개별공시지가를 산정한다<span style='letter-spacing: 0pt'>.</span><table style='border-right: medium none; border-collapse: collapse; border-bottom: medium none; border-left: medium none'>    <tbody>        <tr>            <td valign='middle' style='border-top: #000000 0.28pt dotted; height: 23.14pt; border-right: medium none; width: 345pt; border-bottom: #000000 0.28pt dotted; padding-bottom: 0pt; padding-top: 0pt; padding-left: 1.41pt; border-left: medium none; padding-right: 1.41pt'>            <div style='text-align: center'><span style='font-weight: bold'>개별공시지가</span> <span style='letter-spacing: 0pt'>= </span>가격배율 <span style='letter-spacing: 0pt'>&times; </span>표준지 공시지가            </td>        </tr>    </tbody></table>;<span style='letter-spacing: -0.3pt'>개별공시지가는 시</span><span style='letter-spacing: -0.3pt'>;</span><span style='letter-spacing: -0.3pt'>군</span><span style='letter-spacing: -0.3pt'>;</span><span style='letter-spacing: -0.3pt'>구 부동산평가위원회의 심의를 거쳐 결정되며 개별공시지가에 대해 </span><span style='letter-spacing: -0.2pt'>이의가 있는 경우 결정</span><span style='letter-spacing: -0.2pt'>;</span><span style='letter-spacing: -0.2pt'>공시일로부터 </span><span style='letter-spacing: -0.2pt'>30</span><span style='letter-spacing: -0.2pt'>일 이내에 시장</span><span style='letter-spacing: -0.2pt'>;</span><span style='letter-spacing: -0.2pt'>군수 또는 구청장에게 이의를 </span><span style='letter-spacing: -0.3pt'>신청할 수 있다</span><span style='letter-spacing: -0.3pt'>.</span>;<span style='letter-spacing: 0.3pt'>개별공시지가는 양도소득세</span><span style='letter-spacing: 0.3pt'> </span><span style='letter-spacing: 0.3pt'>상속세</span><span style='letter-spacing: 0.3pt'> </span><span style='letter-spacing: 0.3pt'>종합부동산세 등의 국세와 취득세</span><span style='letter-spacing: 0.3pt'> </span><span style='letter-spacing: 0.2pt'>등록세 등</span><span style='letter-spacing: -0.1pt'>지방세</span><span style='letter-spacing: -0.1pt'> </span><span style='letter-spacing: -0.1pt'>개발부담금</span><span style='letter-spacing: -0.1pt'> </span><span style='letter-spacing: -0.1pt'>농지전용부담금 등의 부담금 부과 시 가격</span>기준으로 활용된다<span style='letter-spacing: 0pt'>.</span>,개별공시지가,표준지(標準地)공시지가를 이용하여 산정한 개별토지의 단위면적(㎡)당 가격을 말한다.
